State,Zip,CarrierType,VehicleType,cnt
AK,99921,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,5
AK,99923,INDIVIDUAL,BUS SCHOOL,1
AK,99925,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AK,99926,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AK,99926,U.S. GOVERNMENT,BUS NON SCHOOL,1
AK,99926,U.S. GOVERNMENT,BUS SCHOOL,1
AK,99929,FINANCE LEASE,BUS NON SCHOOL,1
AK,99929,FOR HIRE,BUS SCHOOL,3
AK,99929,INDIVIDUAL,BUS NON SCHOOL,1
AK,99950,PRIVATE,BUS SCHOOL,1
AL,35005,PRIVATE,BUS SCHOOL,1
AL,35006,INDIVIDUAL,BUS SCHOOL,2
AL,35007,INDIVIDUAL,BUS NON SCHOOL,2
AL,35007,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AL,35007,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,13
AL,35007,PRIVATE,BUS SCHOOL,13
AL,35010,FINANCE LEASE,BUS NON SCHOOL,2
AL,35010,INDIVIDUAL,BUS NON SCHOOL,1
AL,35010,INDIVIDUAL,BUS SCHOOL,1
AL,35010,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,9
AL,35010,PRIVATE,BUS NON SCHOOL,3
AL,35011,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
AL,35011,PRIVATE,BUS SCHOOL,1
AL,35016,INDIVIDUAL,BUS NON SCHOOL,1
AL,35016,INDIVIDUAL,BUS SCHOOL,2
AL,35016,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,14
AL,35020,FINANCE LEASE,BUS SCHOOL,3
AL,35020,FOR HIRE,BUS NON SCHOOL,6
AL,35020,INDIVIDUAL,BUS SCHOOL,1
AL,35020,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AL,35020,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,6
AL,35020,PRIVATE,BUS SCHOOL,2
AL,35022,PRIVATE,BUS NON SCHOOL,1
AL,35022,PRIVATE,BUS SCHOOL,7
AL,35023,FINANCE LEASE,BUS NON SCHOOL,1
AL,35023,FINANCE LEASE,BUS SCHOOL,7
AL,35023,PRIVATE,BUS NON SCHOOL,1
AL,35023,PRIVATE,BUS SCHOOL,1
AL,35031,INDIVIDUAL,BUS NON SCHOOL,2
AL,35031,INDIVIDUAL,BUS SCHOOL,1
AL,35031,PRIVATE,BUS NON SCHOOL,1
AL,35033,INDIVIDUAL,BUS NON SCHOOL,1
AL,35033,INDIVIDUAL,BUS SCHOOL,1
AL,35034,PRIVATE,BUS SCHOOL,2
AL,35040,PRIVATE,BUS NON SCHOOL,1
AL,35042,INDIVIDUAL,BUS SCHOOL,1
AL,35042,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,7
AL,35042,PRIVATE,BUS SCHOOL,1
AL,35045,INDIVIDUAL,BUS NON SCHOOL,1
AL,35045,INDIVIDUAL,BUS SCHOOL,2
AL,35045,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,10
AL,35045,PRIVATE,BUS NON SCHOOL,1
AL,35046,INDIVIDUAL,BUS SCHOOL,1
AL,35046,PRIVATE,BUS SCHOOL,1
AL,35049,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AL,35049,PRIVATE,BUS SCHOOL,1
AL,35051,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
AL,35051,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,19
AL,35051,PRIVATE,BUS NON SCHOOL,1
AL,35051,PRIVATE,BUS SCHOOL,1
AL,35053,INDIVIDUAL,BUS SCHOOL,1
AL,35054,PRIVATE,BUS NON SCHOOL,3
AL,35055,INDIVIDUAL,BUS NON SCHOOL,1
AL,35055,INDIVIDUAL,BUS SCHOOL,1
AL,35055,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,13
AL,35055,PRIVATE,BUS NON SCHOOL,1
AL,35055,PRIVATE,BUS SCHOOL,6
AL,35057,INDIVIDUAL,BUS NON SCHOOL,1
AL,35058,INDIVIDUAL,BUS SCHOOL,4
AL,35058,PRIVATE,BUS SCHOOL,3
AL,35062,PRIVATE,BUS SCHOOL,1
AL,35064,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AL,35064,PRIVATE,BUS SCHOOL,4
AL,35071,INDIVIDUAL,BUS NON SCHOOL,1
AL,35071,INDIVIDUAL,BUS SCHOOL,1
AL,35071,PRIVATE,BUS NON SCHOOL,1
AL,35071,PRIVATE,BUS SCHOOL,3
AL,35072,INDIVIDUAL,BUS SCHOOL,1
AL,35072,PRIVATE,BUS NON SCHOOL,1
AL,35077,INDIVIDUAL,BUS NON SCHOOL,1
AL,35077,INDIVIDUAL,BUS SCHOOL,2
AL,35077,PRIVATE,BUS SCHOOL,1
AL,35077,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
AL,35078,INDIVIDUAL,BUS SCHOOL,1
AL,35078,PRIVATE,BUS SCHOOL,8
AL,35079,INDIVIDUAL,BUS SCHOOL,1
AL,35080,FOR HIRE,BUS NON SCHOOL,2
AL,35080,INDIVIDUAL,BUS NON SCHOOL,1
AL,35080,PRIVATE,BUS SCHOOL,3
AL,35085,INDIVIDUAL,BUS NON SCHOOL,1
AL,35085,INDIVIDUAL,BUS SCHOOL,1
AL,35094,INDIVIDUAL,BUS SCHOOL,2
AL,35094,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,5
AL,35094,PRIVATE,BUS SCHOOL,1
AL,35094,UTILITIES/COMMUNICATIONS,BUS NON SCHOOL,1
AL,35096,FOR HIRE,BUS NON SCHOOL,4
AL,35096,INDIVIDUAL,BUS NON SCHOOL,2
AL,35096,PRIVATE,BUS NON SCHOOL,1
AL,35111,INDIVIDUAL,BUS SCHOOL,1
AL,35111,PRIVATE,BUS SCHOOL,1
AL,35115,FULL SERVICE LEASE,BUS NON SCHOOL,11
AL,35115,INDIVIDUAL,BUS NON SCHOOL,2
AL,35115,INDIVIDUAL,BUS SCHOOL,1
AL,35115,PRIVATE,BUS SCHOOL,1
AL,35117,INDIVIDUAL,BUS SCHOOL,1
AL,35120,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,4
AL,35120,PRIVATE,BUS SCHOOL,3
AL,35121,INDIVIDUAL,BUS SCHOOL,1
AL,35121,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,23
AL,35121,PRIVATE,BUS SCHOOL,1
AL,35124,FOR HIRE,BUS SCHOOL,6
AL,35124,INDIVIDUAL,BUS SCHOOL,1
AL,35124,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,11
AL,35124,PRIVATE,BUS NON SCHOOL,5
AL,35124,PRIVATE,BUS SCHOOL,4
AL,35125,INDIVIDUAL,BUS NON SCHOOL,1
AL,35125,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,4
AL,35125,PRIVATE,BUS SCHOOL,2
AL,35125,U.S. GOVERNMENT,BUS SCHOOL,2
AL,35126,FINANCE LEASE,BUS SCHOOL,1
AL,35126,INDIVIDUAL,BUS NON SCHOOL,1
AL,35126,PRIVATE,BUS SCHOOL,1
AL,35128,INDIVIDUAL,BUS SCHOOL,1
AL,35128,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AL,35131,INDIVIDUAL,BUS SCHOOL,1
AL,35131,PRIVATE,BUS SCHOOL,1
AL,35135,INDIVIDUAL,BUS SCHOOL,1
AL,35135,PRIVATE,BUS NON SCHOOL,1
AL,35136,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,6
AL,35137,PRIVATE,BUS SCHOOL,1
AL,35143,PRIVATE,BUS SCHOOL,2
AL,35146,INDIVIDUAL,BUS SCHOOL,1
AL,35146,PRIVATE,BUS SCHOOL,3
AL,35148,FOR HIRE,BUS NON SCHOOL,1
AL,35148,INDIVIDUAL,BUS NON SCHOOL,1
AL,35148,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AL,35150,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,12
AL,35150,PRIVATE,BUS SCHOOL,7
AL,35151,INDIVIDUAL,BUS NON SCHOOL,1
AL,35151,PRIVATE,BUS NON SCHOOL,1
AL,35160,INDIVIDUAL,BUS NON SCHOOL,5
AL,35160,INDIVIDUAL,BUS SCHOOL,2
AL,35160,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,5
AL,35160,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,18
AL,35160,PRIVATE,BUS NON SCHOOL,1
AL,35160,PRIVATE,BUS SCHOOL,2
AL,35160,STATE GOVERNMENT (U.S. ONLY),BUS SCHOOL,10
AL,35160,U.S. GOVERNMENT,BUS SCHOOL,1
AL,35171,INDIVIDUAL,BUS NON SCHOOL,1
AL,35173,FOR HIRE,BUS NON SCHOOL,2
AL,35173,FOR HIRE,BUS SCHOOL,1
AL,35173,INDIVIDUAL,BUS SCHOOL,2
AL,35173,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AL,35173,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,22
AL,35173,PRIVATE,BUS SCHOOL,7
AL,35179,INDIVIDUAL,BUS SCHOOL,1
AL,35179,UTILITIES/COMMUNICATIONS,BUS SCHOOL,1
AL,35184,INDIVIDUAL,BUS SCHOOL,1
AL,35184,PRIVATE,BUS SCHOOL,4
AL,35186,PRIVATE,BUS SCHOOL,1
AL,35188,INDIVIDUAL,BUS NON SCHOOL,1
AL,35201,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
AL,35202,FINANCE LEASE,BUS NON SCHOOL,1
AL,35203,FINANCE LEASE,BUS NON SCHOOL,2
AL,35203,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
AL,35203,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
AL,35203,PRIVATE,BUS NON SCHOOL,3
AL,35203,PRIVATE,BUS SCHOOL,5
AL,35204,FINANCE LEASE,BUS NON SCHOOL,1
AL,35204,INDIVIDUAL,BUS NON SCHOOL,1
AL,35204,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
AL,35204,PRIVATE,BUS NON SCHOOL,1
AL,35204,PRIVATE,BUS SCHOOL,3
AL,35205,INDIVIDUAL,BUS NON SCHOOL,1
AL,35205,PRIVATE,BUS NON SCHOOL,1
AL,35205,PRIVATE,BUS SCHOOL,3
