ntdid,name,mode,servicetype,time,Small_Systems_Waiver_Fl,Begin_Tm,End_Tm,Rail_Cars_Num,vmt,vmt_rev,V_Pc_Deadmiles,Pass_Car_Sched_Rev_Miles_Num,Pass_Car_Hrs_Num,Pass_Car_Rev_Hrs_Num,V_Pc_Deadhours,Veh_Oper_Num,Veh_Miles_Num,Veh_Rev_Miles_Num,Train_Deadmiles,Veh_Hrs_Num,Veh_Rev_Hours_Num,Train_Deadhours,Charter_Hrs_Num,School_Bus_Hrs_Num,Unl_Pass_Trips_Num,Ada_Unl_Pass_Trips_Num,Sponsored_Service,pmt,Days_Operated_Num,Strike_Days_Num,Emergency_Days_Num
2,Spokane Transit Authority,MB,DO,Average Weekday - Other,N,,,82,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,MB,DO,Average Typical Weekday,N,430,2400,109,19721,18057,1664,18148,1360,1284,76,,,,0,,,0,,,37928,,,166504,254,,
2,Spokane Transit Authority,MB,DO,Average Typical Saturday,N,450,2400,44,8594,7894,700,7934,634,606,28,,,,0,,,0,,,15539,,,60291,52,,
2,Spokane Transit Authority,MB,DO,Average Typical Sunday,N,650,2030,33,5850,5274,576,5300,412,389,23,,,,0,,,0,,,8654,,,34529,60,,
2,Spokane Transit Authority,MB,DO,Annual Total,N,,,,5807094,5313529,493565,5340230,403109,381167,21942,,,,0,,,0,,,11031338,,,47498912,366,,
2,Spokane Transit Authority,VP,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,VP,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,VP,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,VP,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
2,Spokane Transit Authority,VP,DO,Average Typical Weekday,N,,,96,4546,4546,0,,127,127,0,,,,0,,,0,,,965,,,25548,254,,
2,Spokane Transit Authority,VP,DO,Average Typical Saturday,N,,,4,447,447,0,,12,12,0,,,,0,,,0,,,65,,,2259,52,,
2,Spokane Transit Authority,VP,DO,Average Typical Sunday,N,,,4,195,195,0,,6,6,0,,,,0,,,0,,,32,,,652,60,,
2,Spokane Transit Authority,VP,DO,Annual Total,N,,,,1189701,1189701,0,,33220,33220,0,,,,0,,,0,,,250436,,,6645938,366,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Typical Weekday,N,530,1730,31,2610,2330,280,,181,165,16,,,,0,,,0,,,414,,,3132,255,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Typical Saturday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Average Typical Sunday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,DO,Annual Total,N,,,,665644,594250,71394,,46275,42118,4157,,,,0,,,0,,,105572,105572,,798669,255,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Typical Weekday,N,415,2330,66,7059,6217,842,,457,413,44,,,,0,,,0,,,908,,,7553,255,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Typical Saturday,N,545,2330,43,3618,3136,482,,243,219,24,,,,0,,,0,,,495,,,3255,52,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Average Typical Sunday,N,645,2130,43,3370,2875,495,,220,196,24,,,,0,,,0,,,465,,,3112,59,,
3,Pierce County Transportation Benefit Area Authority,DR,PT,Annual Total,N,,,,2187082,1917902,269180,,142176,128179,13997,,,,0,,,0,,,284992,284992,,2278825,366,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Weekday - AM Peak,N,600,900,98,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Weekday - Midday,N,900,1400,94,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Weekday - PM Peak,N,1400,1759,104,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Weekday - Other,N,,,103,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Typical Weekday,N,403,2400,104,16395,14038,2357,14046,1357,1232,125,,,,0,,,0,,,35117,,,137755,255,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Typical Saturday,N,536,2322,87,9789,8700,1089,8706,797,724,73,,,,0,,,0,,,18858,,,73973,52,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Average Typical Sunday,N,633,2158,70,6471,5625,846,5627,497,444,53,,,,0,,,0,,,10929,,,42873,59,,
3,Pierce County Transportation Benefit Area Authority,MB,DO,Annual Total,N,,,,5071525,4363981,707544,4366500,416746,377976,38770,,,,0,,,0,,,10580268,,,41485832,366,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Typical Weekday,N,,,306,17644,17644,0,,525,525,0,,,,0,,,0,,,3303,,,100700,261,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Typical Saturday,N,,,34,1114,1114,0,,33,33,0,,,,0,,,0,,,148,,,4505,52,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Average Typical Sunday,N,,,25,1042,1042,0,,31,31,0,,,,0,,,0,,,135,,,4119,53,,
3,Pierce County Transportation Benefit Area Authority,VP,DO,Annual Total,N,,,,4718159,4718159,0,,140411,140411,0,,,,0,,,0,,,876852,,,26735217,366,,
5,Everett Transit,DR,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,DR,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,DR,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,DR,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,DR,DO,Average Typical Weekday,N,430,2327,19,1967,1768,199,,160,150,10,,,,0,,,0,,,364,,,2282,255,0,0
5,Everett Transit,DR,DO,Average Typical Saturday,N,700,2146,9,942,850,92,,70,66,4,,,,0,,,0,,,156,,,932,52,0,0
5,Everett Transit,DR,DO,Average Typical Sunday,N,700,2144,9,696,619,77,,56,52,4,,,,0,,,0,,,137,,,796,57,0,0
5,Everett Transit,DR,DO,Annual Total,N,,,,590368,530196,60172,,47690,44668,3022,,,,0,,,0,0,0,108846,105954,0,675758,364,0,0
5,Everett Transit,MB,DO,Average Weekday - AM Peak,N,600,945,29,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,MB,DO,Average Weekday - Midday,N,945,1400,27,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,MB,DO,Average Weekday - PM Peak,N,1400,1830,38,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,MB,DO,Average Weekday - Other,N,,,21,,,0,,,,0,,,,0,,,0,,,,,,,,,
5,Everett Transit,MB,DO,Average Typical Weekday,N,427,2349,38,5177,4511,666,4512,402,374,28,,,,0,,,0,,,7643,,,27667,255,,
5,Everett Transit,MB,DO,Average Typical Saturday,N,646,2230,20,2344,2137,207,2137,182,173,9,,,,0,,,0,,,3579,,,12596,52,,
5,Everett Transit,MB,DO,Average Typical Sunday,N,646,2230,15,1891,1715,176,1715,145,138,7,,,,0,,,0,,,2460,,,9694,57,,
5,Everett Transit,MB,DO,Annual Total,N,,,,1550866,1360239,190627,1359451,120495,112452,8043,,,,0,,,0,0,0,2285985,,,8343699,364,,
6,Yakima Transit,DR,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,DR,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,DR,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,DR,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,DR,PT,Average Typical Weekday,N,600,2000,28,1573,1389,184,,142,129,13,,,,0,,,0,,,277,,,918,259,0,0
6,Yakima Transit,DR,PT,Average Typical Saturday,N,600,1900,11,532,458,74,,72,66,6,,,,0,,,0,,,94,,,339,52,0,0
6,Yakima Transit,DR,PT,Average Typical Sunday,N,800,1600,10,437,369,68,,47,44,3,,,,0,,,0,,,90,,,390,53,0,0
6,Yakima Transit,DR,PT,Annual Total,N,,,,456618,401983,54635,,43013,38548,4465,,,,0,,,0,0,0,81410,81410,0,275161,364,0,0
6,Yakima Transit,MB,DO,Average Weekday - AM Peak,N,715,915,19,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,MB,DO,Average Weekday - Midday,N,915,1515,16,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,MB,DO,Average Weekday - PM Peak,N,1515,1815,19,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,MB,DO,Average Weekday - Other,N,,,16,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,MB,DO,Average Typical Weekday,N,615,1945,19,2848,2737,111,2737,193,187,6,,,,0,,,0,,,5321,,,15963,257,0,0
6,Yakima Transit,MB,DO,Average Typical Saturday,N,845,1840,10,1339,1277,62,1279,88,84,4,,,,0,,,0,,,2374,,,7360,52,0,0
6,Yakima Transit,MB,DO,Average Typical Sunday,N,845,1615,6,658,620,38,620,41,39,2,,,,0,,,0,,,928,,,3061,50,0,0
6,Yakima Transit,MB,DO,Annual Total,N,,,,834445,800854,33591,800953,56188,54233,1955,,,,0,,,0,77,0,1538794,,,4637685,359,0,0
6,Yakima Transit,VP,DO,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,VP,DO,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,VP,DO,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,VP,DO,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
6,Yakima Transit,VP,DO,Average Typical Weekday,N,,,25,2217,2217,0,,49,49,0,,,,0,,,0,,,302,,,16726,260,0,0
6,Yakima Transit,VP,DO,Average Typical Saturday,N,,,0,0,0,0,,0,0,0,,,,0,,,0,,,0,,,0,0,0,0
6,Yakima Transit,VP,DO,Average Typical Sunday,N,,,0,0,0,0,,0,0,0,,,,0,,,0,,,0,,,0,0,0,0
6,Yakima Transit,VP,DO,Annual Total,N,,,,576435,576435,0,,12884,12795,89,,,,0,,,0,0,0,78550,,,4348852,260,0,0
7,Lane Transit District,DR,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DR,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DR,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DR,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DR,PT,Average Typical Weekday,N,500,2330,45,5398,4875,523,,448,413,35,,,,0,,,0,,,735,,,6935,257,,
7,Lane Transit District,DR,PT,Average Typical Saturday,N,630,2330,12,1145,1028,117,,91,84,7,,,,0,,,0,,,130,,,809,53,,
7,Lane Transit District,DR,PT,Average Typical Sunday,N,730,2030,15,1297,1149,148,,93,83,10,,,,0,,,0,,,147,,,1102,50,,
7,Lane Transit District,DR,PT,Annual Total,N,,,,1505684,1358150,147534,,124274,114341,9933,,,,0,,,0,,,203177,142088,,1880069,360,,
7,Lane Transit District,DT,PT,Average Weekday - AM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Weekday - Midday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Weekday - PM Peak,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Weekday - Other,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Typical Weekday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Typical Saturday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Average Typical Sunday,N,,,,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,DT,PT,Annual Total,N,,,157,860067,860067,0,,29349,29349,0,,,,0,,,0,,,107725,0,,860138,365,0,0
7,Lane Transit District,MB,DO,Average Weekday - AM Peak,N,730,900,68,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,MB,DO,Average Weekday - Midday,N,900,1430,75,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,MB,DO,Average Weekday - PM Peak,N,1430,1800,78,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,MB,DO,Average Weekday - Other,N,,,65,,,0,,,,0,,,,0,,,0,,,,,,,,,
7,Lane Transit District,MB,DO,Average Typical Weekday,N,530,2400,78,10026,9021,1005,9050,768,706,62,,,,0,,,0,,,30051,,,118906,256,,
7,Lane Transit District,MB,DO,Average Typical Saturday,N,700,2300,37,5293,4915,378,4936,408,387,21,,,,0,,,0,,,13904,,,55077,54,,
7,Lane Transit District,MB,DO,Average Typical Sunday,N,800,2000,21,2917,2683,234,2706,214,206,8,,,,0,,,0,,,7322,,,28305,50,,
7,Lane Transit District,MB,DO,Annual Total,N,,,,2998544,2709049,289495,2718845,229576,212152,17424,,,,0,,,0,,,8810076,,,34829555,360,,
