ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
21,21,Whatcom Transportation Authority,WTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,4111 Bakerview Spur ,,,Bellingham,WA,98226,8056,10,http://www.ridewta.com/,5092,155747561,776,"212,357",275,"Bellingham, WA",,"114,473","2,379",48,Y,99,2,101,,
22,22,City of Pocatello,PRT,Pocatello Regional Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,911 North Seventh,,4169,Pocatello,ID,83205,4169,10,http://www.pocatellotransit.com/,1737,73112690,27,"81,730",395,"Pocatello, ID",,"69,809","2,251",31,Y,28,,28,,
23,23,City of Seattle - Seattle Center Monorail Transit,SMS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,305 Harrison Street,,,Seattle,WA,98109,4695,10,http://www.seattlemonorail.com/,1749,832190248,83,"495,500",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,,8,8,,
24,24,Clark County Public Transportation Benefit Area Authority,C-Tran,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,,,2529,Vancouver,WA,98668,2529,10,http://www.c-tran.com/,1729,44938447,142,"390,611",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,176,,176,,
25,25,Salem Area Mass Transit District,Cherriots,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,555 Court St. NE,Suite 5230,,Salem,OR,97301,3980,10,http://www.cherriots.org/,1740,46259230,76,"236,632",156,"Salem, OR",,"236,632","3,117",76,,53,223,276,,
26,0T26,Bristol Bay Native Association,BBNA,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,1500 Kanakanak Road,,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,67639807,,,0,Alaska Non-UZA,"Dillingham ANVSA, AK",0,0,0,,,,,,
27,0T27,Confederated Tribes of Siletz Indians,CTSI,,Active,Reduced Reporter,Tribal,Tribe,,,,6/30/2016,10/31/2016,,,549,Siletz,OR,97380,549,10,http://www.ctsi.nsn.us/,7043,114787062,,,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,,
28,28,Pierce County Ferry Operations,Pierce County Ferry,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,"2702 S 42nd ST, Ste 201",,,Tacoma,WA,98409,,10,http://www.co.pierce.wa.us/,5013,71850887,233,"844,490",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,,2,2,,
29,29,Snohomish County Public Transportation Benefit Area Corporation,Community Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,7100 Hardeson Road,,,Everett,WA,98203,5834,10,http://www.commtrans.org/,2578,37420460,261,"737,745",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,510,99,609,,
30,0T30,Chickaloon Native Village,CATs,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,P.O. Box 1105,,,Chickaloon,AK,99674,,10,http://www.chickaloontransit.com,6666,37410123,,,0,Alaska Non-UZA,"Chickaloon ANVSA, AK",0,0,0,,3,,3,,
31,0T31,Shoshone-Bannock Tribes,SBTDOT,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,,,306,Fort Hall,ID,83203,,10,http://www.sbtribes.com/,6976,793139684,,0,0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",0,0,0,,12,,12,,
32,0T32,Skokomish Indian Tribe,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,North 80 Tribal Center Road,,,Skokomish,WA,98584,,10,n/a,6682,145310819,,,0,Washington Non-UZA,"Skokomish Reservation, WA",0,0,0,,2,,2,,
34,34,Rogue Valley Transportation District,RVTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3200 Crater Lake Avenue,,,Medford,OR,97504,9075,10,http://www.rvtd.org/,1739,91288639,50,"132,022",213,"Medford, OR",,"154,081","2,381",65,Y,18,20,38,,
35,35,Washington State Ferries,WSF,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2016,10/31/2016,2901 Third Avenue,,,Seattle,WA,98121,1081,10,http://www.wsdot.wa.gov/ferries/index.cfm/,1724,808883995,"1,945","3,919,300",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,19,,19,,
36,0T36,Makah Tribal Council,,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,P.O. Box 115,,,Neah Bay ,WA,98357,115,10,http://www.makah.com/,6907,71845952,,,0,Washington Non-UZA,"Makah Indian Reservation, WA",0,0,0,,1,,1,,
40,40,Central Puget Sound Regional Transit Authority,ST,Sound Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,401 South Jackson Street,,,Seattle,WA,98104,2826,10,http://www.soundtransit.org/,5656,958427239,"1,087","2,988,000",14,"Seattle, WA",,"3,059,393","3,028","1,010",Y,257,114,371,,
41,41,Alaska Railroad Corporation,ARRC,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,12/31/2016,4/30/2017,327 West Ship Creek Avenue,,107500,Anchorage,AK,99510,7500,10,http://www.akrr.com/,5806,9487042,266,"352,701",149,"Anchorage, AK",,"251,243","2,956",85,Y,39,,39,,
42,42,Targhee Regional Public Transit Authority,TRPTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,1810 W.  Broadway  #7,, ,Idaho Falls,ID,83402,,10,http://www.trpta.org/,5575,137202094,552,"127,290",321,"Idaho Falls, ID",,"90,733","2,039",45,Y,19,,19,,
43,43,Link Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,2700 Euclid Avenue,,,Wenatchee,WA,98801,,10,http://www.linktransit.com/,5606,790160758,197,"108,660",412,"Wenatchee, WA",,"67,227","2,143",31,Y,43,1,44,,
44,44,Skagit Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,600 County Shop Lane,,,Burlington,WA,98233,9772,10,http://www.skagittransit.org/,5816,840017672,760,"109,198",435,"Mount Vernon, WA",,"62,966","1,827",34,Y,90,,90,,
45,45,Fairbanks North Star Borough Transit,MACS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,3175 Peger Road,,,Fairbanks,AK,99709,,10,http://www.co.fairbanks.ak.us/transportation/,1734,76637651,"7,444","97,581",425,"Fairbanks, AK",,"64,513","1,170",55,Y,16,,16,,
46,46,South Metro Area Regional Transit,SMART,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,29799 SW Town Center Loop E,,,Wilsonville,OR,97070,,10,http://www.ridesmart.com/,5706,37600215,80,"22,729",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,18,,18,,
47,47,City of Corvallis,CTS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,Corvallis Transit System,,1083,Corvallis,OR,97339,1083,10,http://www.CorvallisTransit.com/,5664,30796783,14,"57,390",436,"Corvallis, OR",,"62,433","2,957",21,Y,,11,11,,
48,48,Lewiston Transit System,LTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,PO Box 617,,617,Lewiston,ID,83501,,10,http://www.cityoflewiston.org/transit/,5981,40197261,17,"50,058",483,"Lewiston, ID-WA",,"51,924","1,840",28,Y,4,,4,,
51,51,Asotin County PTBA,PTBA,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,1494 Poplar St,,,Clarkston,WA,99403,,10,http://asotincoptba.com/,6450,830295015,20,"21,888",483,"Lewiston, ID-WA",,"51,924","1,840",28,Y,13,,13,,
53,53,Coeur d'Alene Tribe dba Citylink Transit,Citylink,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,37914 South Nukwalqw Street,,236,Worley,ID,83876,236,10,http://www.idahocitylink.com/,6807,808783844,388,"21,188",304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID","98,378","2,083",47,N,4,,4,,
55,55,Kootenai County,KC,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,451 North Government Way,,9000,Coeur d'Alene,ID,83816,9000,10,http://www.kcgov.us/,6283,78207404,38,"78,696",304,"Coeur d'Alene, ID",,"98,378","2,083",47,Y,,7,7,,
57,57,Central Oregon Intergovernmental Council,Cascades East Transit,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,334 NE Hawthorne Avenue,,,Bend,OR,97701,,10,http://www.coic.org/,7112,137128062,75,"127,940",344,"Bend, OR",,"83,794","2,110",40,Y,26,21,47,,
58,58,City of Portland,PBOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1120 SW 5th Street,Room 800,,Portland,OR,97204,,10,http://www.portlandoregon.gov/,,54971197,11,"72,832",24,"Portland, OR-WA",,"1,849,898","3,528",524,Y,,16,16,,
59,59,Josephine County,JCT,Josephine Community Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,201 River Heights Way,,,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/,6746,18742572,80,"48,000",494,"Grants Pass, OR",,"50,520","1,858",27,Y,16,,16,,
60,60,The Tulalip Tribes of Washington,TTT,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,6406 Marine Drive NW,,,Tulalip,WA,98271,,10,http://www.tulaliptribes-nsn.gov/,6977,40182198,19,"5,303",225,"Marysville, WA","Tulalip Reservation and Off-Reservation Trust Land, WA","145,140","1,774",82,Y,1,,1,,
61,61,City of Albany,ATS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,333 Broadalbin,,490,Albany,OR,97321,,10,http://www.cityofalbany.net/,5676,93478899,20,"50,724",459,"Albany, OR",,"56,997","2,379",24,Y,13,,13,,
63,63,City of Milton-Freewater,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,722 S. Main Street,,6,MiltonFreewater,OR,97862,,10,http://www.mfcity.com/,,51941763,5,"7,500",464,"Walla Walla, WA-OR",,"55,805","2,017",28,Y,,2,2,,
64,64,Valley Transit,VT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,1401 West Rose Street,,,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,102891322,25,"47,241",464,"Walla Walla, WA-OR",,"55,805","2,017",28,Y,21,,21,,
65,65,Benton County,BCSTF,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,STF Program,,1083,Corvallis,OR,97333,1083,10,http://www.co.benton.or.us/pw/stf/index.php/,1723,81966004,676,"86,591",436,"Corvallis, OR",,"62,433","2,957",21,N,,21,21,,
75,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,9615 Grand Ronde Rd,,,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,161155346,0,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",0,0,0,,,,,,
85,0T08,Gulkana Village Council,SET,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,4/30/2017,254,,,Gakona,AK,99586,254,10,soaringeagletransit.com,6667,1142814,,,0,Alaska Non-UZA,"Gulkana ANVSA, AK",0,0,0,,3,,3,,
95,0T11,Lummi Nation,LIBC,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,2828 Kwina Rd,,,Bellingham,WA,98226,,10,http://lummi-nsn.gov/,6684,20245247,,,0,Washington Non-UZA,"Lummi Reservation, WA",0,0,0,,2,,2,,
103,0T16,Squaxin Island Tribe,,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,10 SE Squaxin,,,Shelton,WA,98584,,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,606460475,,,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",0,0,0,,3,,3,,
111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,401 Fort  Road,,151,Toppenish,WA,98948,,10,http://www.pahtotransit.com,1724,803886399,0,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",0,0,0,,7,,7,,
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,46411 Timine Way,,,Pendleton,OR,97801,,10,http://www.ctuir.org/,6800,131973919,,,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR",0,0,0,,7,5,12,,
127,0T07,Cowlitz Indian Tribe,CITDOT,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,PO Box 2547,Suite B,2547,Longview,WA,98632,9200,10,http://www.cowlitz.org/,6808,607700478,0,0,0,Washington Non-UZA,,0,0,0,,5,,5,,
135,0T12,Nez Perce Tribe,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,365,120 Bever Grade,,Lapwai,ID,83540,365,10,http://www.nezperce.org/,1722,78208303,,,0,Idaho Non-UZA,"Nez Perce Reservation, ID",0,0,0,,4,,4,,
159,0T18,Tetlin Village Council,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,PO Box 797,,,Tok,AK,99780,,10,http://www.tetlindot.com/,6812,,,,0,Alaska Non-UZA,"Tetlin ANVSA, AK",0,0,0,,1,,1,,
175,0T20,Manley Village Council,MVC,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,149 mile Elliott Highway,,105,Manley Hot Springs,AK,99756,105,10,,6804,926387804,,,0,Alaska Non-UZA,"Manley Hot Springs ANVSA, AK",0,0,0,,1,,1,,
183,0T21,Quinault Tribe of the Quinault Reservation,QIN,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,1214 Aalis Drive,,189,Taholah,WA,98587,189,10,quinaultindiannation.com,6677,605668524,,,0,Washington Non-UZA,"Quinault Reservation, WA",0,0,0,,2,,2,,
199,0T23,Seldovia Village Tribe,SVT,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,Drawer L,,,Seldovia,AK,99663,,10,http://www.svt.org/,8827,789480548,,,0,Alaska Non-UZA,"Seldovia ANVSA, AK",0,0,0,,1,,1,,
207,0T24,Spokane Tribe of Indians,TME,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,The Moccasin Express,6195 Ford Wellpinit Rd,100,Wellpinit,WA,99040,,10,http://www.spokanetribe.com/,6937,54658232,,,0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA",0,0,0,,10,,10,,
223,0T28,Jamestown S'Klallam Tribe,JST,,Active,Reduced Reporter,Tribal,Tribe,,,,3/31/2016,10/31/2016,1033 Old Blyn Highway,,,Sequim,WA,98382,,10,http://www.jamestowntribe.org/,6986,103364097,,,0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,,
231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,1233 Veterans Street,,C,Warm Springs,OR,97761,,10,https://warmsprings-nsn.gov/,6978,41266073,,,0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",0,0,0,,,,,,
239,0T34,Ketchikan Indian Community,,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,615 Stedman,,,Ketchikan,AK,99901,,10,n/a,7287,936814010,,,0,Alaska Non-UZA,"Ketchikan ANVSA, AK",0,0,0,,5,,5,,
247,0T29,Native Village of Noatak,NNV,,Active,Reduced Reporter,Tribal,Tribe,,,,6/30/2016,10/31/2016,#5 Swamp Street,,24,Noatak,AK,99761,,10,http://www.maniilaq.org/,7186,907801,,,0,Alaska Non-UZA,"Noatak ANVSA, AK",0,0,0,,1,,1,,
263,0T38,Nooksack Indian Tribe,NIT,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,NIT Planning Department , 4975 Deming Road,,Deming,WA,98244,157,10,http://www.nooksacktribe.org/,7176,39515234,,,0,Washington Non-UZA,"Nooksack Reservation and Off-Reservation Trust Land, WA",0,0,0,,,,,,
271,0T41,Nome Eskimo Community,NEC,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,200 W. 5th Avenue,,1090,Nome,AK,99762,,10,,6985,534862050,,,0,Alaska Non-UZA,"Nome ANVSA, AK",0,0,0,,1,,1,,
279,0T40,Hydaburg Cooperative Association,,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,,,349,Hydaburg,AK,99922,,10,www.hydatribe.org/transportation.hotmail,,134291116,,,0,Alaska Non-UZA,"Hydaburg ANVSA, AK",0,0,0,,2,,2,,
400,,Gwichyaa Zhee Tribal Transit Service,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,3rd & Alder Street,,126,Fort Yukon,AK,99740,,10,,6983,607347754,,,0,Alaska Non-UZA,"Fort Yukon ANVSA, AK",0,0,0,,1,,1,,
401,,Lower Elwha Klallam Tribe,LEKT,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,2851 Lower Elwha Road,,,Port Angeles,WA,98363,,10,www.elwha.org,,910838085,,,0,Washington Non-UZA,"Lower Elwha Reservation and Off-Reservation Trust Land, WA",0,0,0,,1,,1,,
407,,Muckleshoot Indian Tribe,MIT,,Active,Reduced Reporter,Tribal,Tribe,,,,12/31/2016,4/30/2017,390156 172nd Ave SE,,,Auburn,WA,98092,,10,http://www.muckleshoot.nsn.us/,,76655851,,,14,"Seattle, WA","Muckleshoot Reservation and Off-Reservation Trust Land, WA","3,059,393","3,028","1,010",,,,,,
10001,1001,Rhode Island Public Transit Authority,RIPTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,705 Elmwood Ave,,,Providence,RI,2907,,1,http://www.RIPTA.com/,1388,41275652,"1,436","1,048,319",39,"Providence, RI-MA",,"1,190,956","2,185",545,Y,274,17,291,,
10002,1002,Manchester Transit Authority,MTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,110 Elm Street,,,Manchester,NH,3101,2799,1,http://www.mtabus.org/,1387,136155533,63,"135,366",209,"Manchester, NH",,"158,377","1,838",86,Y,17,,17,,
10003,1003,Massachusetts Bay Transportation Authority,MBTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,10 Park Plaza,,,Boston,MA,2116,3974,1,http://www.mbta.com/,1369,122872260,"3,244","3,109,308",10,"Boston, MA-NH-RI",,"4,181,019","2,232","1,873",Y,"1,323","1,051","2,374",,
